Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
200m,Men,60,1:45.35,Pieter van den Hoogenband,Netherlands,2000-09-17,Olympic Games,"Sydney, Australia"
200m,Men,60,1:45.35,Pieter van den Hoogenband,Netherlands,2000-09-18,Olympic Games,"Sydney, Australia"
200m,Men,62,1:44.69,Ian Thorpe,Australia,2001-03-27,Australian Championships,"Hobart, Australia"
200m,Men,63,1:44.06,Ian Thorpe,Australia,2001-07-25,World Championships,"Fukuoka, Japan"
200m,Men,64,1:43.86,Michael Phelps,United States,2007-03-27,World Championships,"Melbourne, Australia"
200m,Men,65,1:42.96,Michael Phelps,United States,2008-08-12,Olympic Games,"Beijing, China"
200m,Men,66,1:42.00,Paul Biedermann,Germany,2009-07-25,World Championships,"Rome, Italy"
200m,Women,1,2:56.0,Fanny Durack,Australia,1915-03-04,-,"Sydney, Australia"
200m,Women,2,2:47.6,Charlotte Boyle,United States,1921-08-25,-,"New Brighton, United States"
200m,Women,3,2:45.2,Gertrude Ederle,United States,1923-04-04,-,"Brooklyn, United States"
200m,Women,4,2:40.6,Martha Norelius,United States,1926-02-28,-,"Miami, United States"
200m,Women,5,2:34.6,Helene Madison,United States,1930-03-06,-,"St. Augustine, United States"
200m,Women,6,2:28.6,Willy den Ouden,Netherlands,1933-05-03,-,"Rotterdam, Netherlands"
200m,Women,7,2:27.6,Willy den Ouden,Netherlands,1934-05-05,-,"Dundee, United Kingdom"
200m,Women,8,2:25.3,Willy den Ouden,Netherlands,1935-09-08,-,"Copenhagen, Denmark"
200m,Women,9,2:24.6,Rie van Veen,Netherlands,1938-02-26,-,"Rotterdam, Netherlands"
200m,Women,10,2:21.7,Ragnhild Hveger,Denmark,1938-09-11,-,"Aarhus, Denmark"
200m,Women,11,2:20.7,Dawn Fraser,Australia,1956-02-25,-,"Sydney, Australia"
200m,Women,12,2:19.3,Lorraine Crapp,Australia,1956-08-25,-,"Townsville, Australia"
200m,Women,13,2:18.5,Lorraine Crapp,Australia,1956-10-20,-,"Sydney, Australia"
200m,Women,14,2:17.7,Dawn Fraser,Australia,1958-02-10,-,"Adelaide, Australia"
200m,Women,15,2:14.7,Dawn Fraser,Australia,1958-02-22,-,"Melbourne, Australia"
200m,Women,16,2:11.6,Dawn Fraser,Australia,1960-02-27,-,"Sydney, Australia"
200m,Women,17,2:10.5,Lillian Watson,United States,1966-08-19,-,"Lincoln, United States"
200m,Women,18,2:09.7,Pam Kruse,United States,1967-08-19,US National Championships,"Philadelphia, United States"
200m,Women,19,2:09.5,Susan Pederson,United States,1968-07-06,Santa Clara International,"Santa Clara, United States"
200m,Women,20,2:08.8,Edith Wetzel,United States,1968-08-02,US National Championships,"Lincoln, United States"
200m,Women,21,2:07.9,Linda Gustavson,United States,1968-08-24,US Olympic Trials,"Los Angeles, United States"
200m,Women,22,2:06.7,Debbie Meyer,United States,1968-08-24,US Olympic Trials,"Los Angeles, United States"
200m,Women,23,2:06.5,Shane Gould,Australia,1971-05-01,Coca-Cola International,"London, United Kingdom"
200m,Women,24,2:05.8,Shane Gould,Australia,1971-11-26,-,"Sydney, Australia"
200m,Women,25,2:05.21,Shirley Babashoff,United States,1972-08-04,US Olympic Trials,"Chicago, United States"
200m,Women,26,2:03.56,Shane Gould,Australia,1972-09-01,Olympic Games,"Munich, West Germany"
200m,Women,27,2:03.22,Kornelia Ender,East Germany,1974-08-22,European Championships,"Vienna, Austria"
